year,mon,day,hour,minute,latitude,longitude
2020,08,05,03,34,70.12444166666667,30.512101666666666
2020,08,10,07,54,61.28187666666667,4.77974
2020,08,10,01,54,62.22125333333334,5.134041666666667
2020,08,13,09,44,67.09735333333333,13.959535
2020,08,10,05,44,61.602093333333336,5.025638333333333
2020,08,04,13,44,70.97030833333334,26.223135
2020,08,14,05,24,68.79951166666666,16.550063333333334
2020,08,04,06,04,70.97140666666667,24.362746666666666
2020,08,13,08,24,66.89214666666666,13.6357
2020,08,15,07,04,70.99488833333334,24.688873333333333
2020,08,14,22,24,70.34847666666667,21.540455
2020,08,06,20,54,69.78305833333333,19.252785
2020,08,07,22,24,67.72434833333334,14.187838333333334
2020,08,12,22,54,65.26002166666666,11.940085
2020,08,14,20,24,70.03278833333333,20.994926666666668
2020,08,13,15,24,67.76773333333334,14.149991666666667
2020,08,10,21,44,60.776938333333334,4.77171
2020,08,08,03,14,67.15256333333333,14.03693
2020,08,07,12,24,68.57124666666667,14.911465
2020,08,12,14,44,63.86911833333333,9.696003333333334
2020,08,13,02,04,65.880405,12.371206666666666
2020,08,06,16,54,70.1955,21.123093333333333
2020,08,04,00,54,70.28595166666666,22.311665
2020,08,07,14,34,68.39893333333333,15.101973333333333
2020,08,06,10,24,70.66496666666667,23.680345
2020,08,03,06,34,68.90771166666667,16.938633333333332
2020,08,12,08,34,63.443603333333336,10.40746
2020,08,03,15,34,69.64650666666667,18.960595
2020,08,13,03,34,66.09993166666666,12.73237
2020,08,11,13,44,62.19423333333334,7.021898333333334
2020,08,10,11,54,60.513688333333334,5.263183333333333
2020,08,13,01,24,65.71371333333333,12.284451666666667
2020,08,13,07,44,66.83093166666667,13.644368333333333
2020,08,06,10,54,70.66496333333333,23.680343333333333
2020,08,09,09,24,63.60951,9.803886666666667
2020,08,06,20,14,69.84098833333333,19.684236666666667
2020,08,06,09,54,70.665,23.68
2020,08,08,15,34,65.47572666666667,12.210421666666667
2020,08,14,16,14,69.64649666666666,18.960581666666666
2020,08,05,17,04,70.66507,30.348276666666667
2020,08,15,03,54,70.664975,23.680338333333335
2020,08,03,02,14,68.85894666666667,15.505001666666667
2020,08,13,19,14,68.230935,14.5667
2020,08,12,09,04,63.4436,10.407465
2020,08,12,18,54,64.62921,10.684328333333333
2020,08,07,01,34,69.42196333333334,18.121578333333332
2020,08,13,23,44,68.58605333333334,15.15852
2020,08,14,07,34,69.070265,17.37642
2020,08,06,21,54,69.64644,18.960463333333333
2020,08,11,00,14,61.36001666666667,4.809448333333333
2020,08,12,12,14,63.47741333333333,10.018788333333333
