year,mon,day,hour,minute,latitude,longitude,delta_lat,delta_lon,delta_pos
2020,8,3,15,24,69.6465066666667,18.9605966666667,0.000,0.000,0.000
2020,8,3,15,34,69.6465066666667,18.960595,0.000,0.000,0.000
2020,8,3,15,44,69.6465066666667,18.960595,0.000,0.000,0.000
2020,8,3,15,54,69.646505,18.960595,0.000,0.000,0.000
2020,8,3,16,4,69.6465033333333,18.960595,0.000,0.000,0.000
2020,8,3,16,14,69.646505,18.9605883333333,0.000,0.000,0.000
2020,8,3,16,24,69.6465016666667,18.960595,0.000,0.000,0.000
2020,8,3,16,34,69.6465016666667,18.9606,0.000,0.000,0.000
2020,8,3,16,44,69.6461033333333,18.968865,0.000,0.008,0.008
2020,8,3,16,54,69.6836816666667,19.0299,0.038,0.061,0.072
2020,8,3,17,4,69.7039083333333,19.044265,0.020,0.014,0.025
2020,8,3,17,14,69.7587466666667,19.0889983333333,0.055,0.045,0.071
2020,8,3,17,24,69.76753,19.1490583333333,0.009,0.060,0.061
2020,8,3,17,34,69.78343,19.2567683333333,0.016,0.108,0.109
2020,8,3,17,44,69.8081566666667,19.34922,0.025,0.092,0.096
2020,8,3,17,54,69.8528216666667,19.3994883333333,0.045,0.050,0.067
2020,8,3,18,4,69.8916583333333,19.4654333333333,0.039,0.066,0.077
2020,8,3,18,14,69.929885,19.539815,0.038,0.074,0.084
2020,8,3,18,24,69.958785,19.637115,0.029,0.097,0.102
2020,8,3,18,34,69.9732816666667,19.6856166666667,0.014,0.049,0.051
2020,8,3,18,44,70.014375,19.7663483333333,0.041,0.081,0.091
2020,8,3,18,54,69.9900766666667,19.8841033333333,-0.024,0.118,0.120
2020,8,3,19,4,69.9797216666667,19.9677183333333,-0.010,0.084,0.084
2020,8,3,19,14,69.9844083333333,20.08899,0.005,0.121,0.121
2020,8,3,19,24,69.99211,20.23376,0.008,0.145,0.145
2020,8,3,19,34,69.9992433333333,20.36224,0.007,0.128,0.129
2020,8,3,19,44,70.0036116666667,20.4421183333333,0.004,0.080,0.080
2020,8,3,19,54,70.0144983333333,20.5809166666667,0.011,0.139,0.139
2020,8,3,20,4,70.0282166666667,20.6745983333333,0.014,0.094,0.095
2020,8,3,20,14,70.0456883333333,20.7939883333333,0.017,0.119,0.121
2020,8,3,20,24,70.06184,20.94291,0.016,0.149,0.150
2020,8,3,20,34,70.0490466666667,21.0282566666667,-0.013,0.085,0.086
2020,8,3,20,44,70.0350933333333,21.0153066666667,-0.014,-0.013,0.019
2020,8,3,20,54,70.034885,20.9840266666667,0.000,-0.031,0.031
2020,8,3,21,4,70.034945,20.98397,0.000,0.000,0.000
2020,8,3,21,14,70.0327933333333,20.99874,-0.002,0.015,0.015
2020,8,3,21,24,70.0692966666667,21.0491766666667,0.037,0.050,0.062
2020,8,3,21,34,70.1114316666667,21.0757666666667,0.042,0.027,0.050
2020,8,3,21,44,70.1420366666667,21.0952883333333,0.031,0.020,0.036
2020,8,3,21,54,70.1810633333333,21.1199333333333,0.039,0.025,0.046
2020,8,3,22,4,70.22637,21.1493316666667,0.045,0.029,0.054
2020,8,3,22,14,70.255555,21.2499033333333,0.029,0.101,0.105
2020,8,3,22,24,70.2690433333333,21.30289,0.013,0.053,0.055
2020,8,3,22,34,70.303265,21.4249466666667,0.034,0.122,0.127
2020,8,3,22,44,70.3266666666667,21.484765,0.023,0.060,0.064
2020,8,3,22,54,70.374925,21.608075,0.048,0.123,0.132
2020,8,3,23,4,70.399385,21.68334,0.024,0.075,0.079
2020,8,3,23,14,70.3886183333333,21.7791733333333,-0.011,0.096,0.096
2020,8,3,23,24,70.37157,21.882455,-0.017,0.103,0.105
2020,8,3,23,34,70.3519916666667,21.9864783333333,-0.020,0.104,0.106
2020,8,3,23,44,70.3292433333333,22.1068633333333,-0.023,0.120,0.123
2020,8,3,23,54,70.3024166666667,22.2305666666667,-0.027,0.124,0.127
2020,8,4,0,4,70.275895,22.31528,-0.027,0.085,0.089
2020,8,4,0,14,70.2407583333333,22.3374466666667,-0.035,0.022,0.042
2020,8,4,0,24,70.2372383333333,22.3492116666667,-0.004,0.012,0.012
2020,8,4,0,34,70.2372383333333,22.3492216666667,0.000,0.000,0.000
2020,8,4,0,44,70.2402833333333,22.3307783333333,0.003,-0.018,0.019
2020,8,4,0,54,70.2859516666667,22.311665,0.046,-0.019,0.050
2020,8,4,1,4,70.33018,22.29381,0.044,-0.018,0.048
2020,8,4,1,14,70.36716,22.337965,0.037,0.044,0.058
2020,8,4,1,24,70.39351,22.4324433333333,0.026,0.094,0.098
2020,8,4,1,34,70.4138783333333,22.5221133333333,0.020,0.090,0.092
2020,8,4,1,44,70.4414416666667,22.642685,0.028,0.121,0.124
2020,8,4,1,54,70.4657833333333,22.7499033333333,0.024,0.107,0.110
2020,8,4,2,4,70.490155,22.8566983333333,0.024,0.107,0.110
2020,8,4,2,14,70.51514,22.9622266666667,0.025,0.106,0.108
2020,8,4,2,24,70.53028,23.01356,0.015,0.051,0.054
2020,8,4,2,34,70.5719083333333,23.1547583333333,0.042,0.141,0.147
2020,8,4,2,44,70.5998366666667,23.2490166666667,0.028,0.094,0.098
2020,8,4,2,54,70.6282466666667,23.3458666666667,0.028,0.097,0.101
2020,8,4,3,4,70.6423616666667,23.46601,0.014,0.120,0.121
2020,8,4,3,14,70.65305,23.5625883333333,0.011,0.097,0.097
2020,8,4,3,24,70.66692,23.6758216666667,0.014,0.113,0.114
2020,8,4,3,34,70.665055,23.6811633333333,-0.002,0.005,0.006
2020,8,4,3,44,70.6649666666667,23.6803483333333,0.000,-0.001,0.001
2020,8,4,3,54,70.6649683333333,23.68034,0.000,0.000,0.000
2020,8,4,4,4,70.6650916666667,23.6804133333333,0.000,0.000,0.000
2020,8,4,4,14,70.6642916666667,23.6607083333333,-0.001,-0.020,0.020
2020,8,4,4,24,70.6834083333333,23.5604616666667,0.019,-0.100,0.102
2020,8,4,4,34,70.7162283333333,23.596385,0.033,0.036,0.049
2020,8,4,4,44,70.7652916666667,23.6842583333333,0.049,0.088,0.101
2020,8,4,4,54,70.7691716666667,23.6970716666667,0.004,0.013,0.013
2020,8,4,5,4,70.8141116666667,23.8441516666667,0.045,0.147,0.154
2020,8,4,5,14,70.8416683333333,23.9343583333333,0.028,0.090,0.094
2020,8,4,5,24,70.8624416666667,24.00279,0.021,0.068,0.072
2020,8,4,5,34,70.8967633333333,24.1157083333333,0.034,0.113,0.118
2020,8,4,5,44,70.9172683333333,24.1840433333333,0.021,0.068,0.071
2020,8,4,5,54,70.94992,24.2909283333333,0.033,0.107,0.112
2020,8,4,6,4,70.9714066666667,24.3627466666667,0.021,0.072,0.075
2020,8,4,6,14,70.9932733333333,24.4352866666667,0.022,0.073,0.076
2020,8,4,6,24,71.027075,24.5509683333333,0.034,0.116,0.121
2020,8,4,6,34,71.0211233333333,24.6427116666667,-0.006,0.092,0.092
2020,8,4,6,44,71.00903,24.7312483333333,-0.012,0.089,0.089
2020,8,4,6,54,70.99471,24.68853,-0.014,-0.043,0.045
2020,8,4,7,4,70.9948883333333,24.6888516666667,0.000,0.000,0.000
2020,8,4,7,14,70.9946683333333,24.6906266666667,0.000,0.002,0.002
